complaint_id,complaint_text,primary_category,secondary_category,severity
1634299,"Back into XXXX of 2010 during this mortgage crash me and my wife were part of this with our second home. We tried and did everything the bank ( specialized loan service ( SLS ) wanted us to do. They finally offered us a program called DEED IN LIEU instead of a foreclosure. we accepted this and they even paid us under their cash for keys program which is only given out for deed of lieu or short sales. 5 1/2 years later when we are applying for a new mortgage an open foreclosure is showing up on our credit report instead of deed in lieu from this bank SLS. After numerous talks with different departments within the company, faxes, written requests and a copy of out credit report so this error can be corrected on our credit report, me and my wife are getting nothing but a run around. I had XXXX different customer service reps and a dept manager say that our file looked messed up, that it should be reading one way but reads another way. They all said they do n't know where to begin. 

We showed them the proof, they saw the proof in their files. The manager even said a deed in lieu was started but never completed. They see the cash for keys check issued ( XXXX XXXX, 2010 ) and a copy of the deeds and verification of mortgage. We really need help with this and have no where else to turn. 

This is the only thing prohibiting us from obtaining a new mortgage. Our credit is outstanding except for this mark on our credit report. We can not get them to help us fix their error. We are at RISK OF LOSING THIS NEW HOME because of the wording in our credit report. Time is fast approaching for our settlement date. We waiting the 5 years for the XXXX, DEED IN LIEU time, only to be hit with this.",Mortgage,"Loan modification,collection,foreclosure",2
5505088,"I checked my credit report and I am upset on what I found out. There are late payment remarked on it but I did not incur any late payments. Thoroughly investigate it and make a necessary action. Here are the details of the late payment accounts, company name, balance & date last reported : XXXX XXXX/ {$630.00} / XX/XX/XXXX XXXX XXXX/ {$0.00} / XX/XX/XXXX","Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,1
10979675,"I am writing to dispute the accuracy of the information regarding this account on my credit report. The balance and charge-off status reported are incorrect, as this account was fully resolved in the past. This misinformation is unjustly impacting my creditworthiness. I kindly request a prompt investigation into this matter and an update to my credit report to remove this inaccurate entry. Please notify me once the correction has been made, as it is essential that my credit report accurately represent my financial history. Thank you for addressing this issue promptly.",Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,1
7520351,"A transaction from XXXX XXXX XXXX submitted a withdrawal from my checking account with B of A ending in XXXX on XX/XX/XXXX, the overdraft protection from my other checking account with B of A ending on XXXX, did not apply it to acct. XXXX as it was suppose to. This happened XXXX months in a row in XXXX but I just now found out that I could dispute this problem that B of A caused me at that time and recently as well.",Checking or savings account,Managing an account,1
5847870,"I was recently alerted to an account in collections to the sum of {$5000.00} ( est. ) that is not mine. In XX/XX/2020 I had the XXXX and went to the ER for XXXX and was released within a few hours. I received a bill of {$1200.00} after insurance coverage and paid it promptly. I never received any other bill but received scam-like calls asking for random and different amounts owed that were unprofessional and did not seem credible. Ive also received text messages and mail saying Ive been enrolled in a XXXX XXXX XXXXXXXX XXXX  ( XXXX ), and Ive absolutely am not in school for anything medical related, nor any other type of schooling. I believe my information was compromised during that visit to the ER and believe this debt is Fraud-related.",Debt collection,Attempts to collect debt not owed,5
11197279,"I believe that the bank/company did not loan me any money. They did not deposit the promissory note that was assigned to them from the dealership. The bank/company recorded the promissory note as an asset on the books of the business and credited cash to balance the books. The alleged borrower got cash. likely the bank/company will likely avoid explaining the cash earlier credited was deposited. The deposit is a debit to cash and a credit to a bank/company liability like a checking account, demand deposit account or savings account. The new result is exactly what the Federal Reserve Banks have already admitted. There is a new company/bank asset and a new company/bank liability. The new asset came from the borrower and the bank/company liability means the bank/company owes money related to the new asset. The owner of the property is me ( the complainant of this inquiry ). The banks claim that they loaned me money to purchase the vehicle. Where did the money come from. I believe they created an account and deposited the cash and then paid for the property from that account. This is what I believe is an act of custodian or intermediary to the transaction.",Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,1
1398859,"This is my XXXX complaint against my mortgage company. For this complaint, I called last XXXX to get information for a Deed in Lieu of Foreclosure. I was told by the agent that I had to attempt a short sale XXXX for XXXX before a Deed and XXXX could be considered. Speeding up on the same subject, about XXXX months ago I requested information for a short sale. The information provided had all work out options including Deed in Lieu. I read the information for a Deed in Lieu and it did not say anything about having to do a short sale. I called again and spoke to a representative and agreed with what the paperwork said. She tried to go back in the notes to see why he would tell me that but she said she said since my account transferred to a new system, she did n't have access to anything earlier than XXXX 2014. How convenient. She said I can still attempt a Deed in Lieu but since my house is already up for sale I just wanted to finish out this option first. After submitting the shortsale information, I received correspondence stating that they received my request for a loan modification and I will receive additional information for what is needed. I clearly filled out the information for short sale and not a modification. I added the information for my realtor and her contact information, giving permission to speak with her. Then I received a letter from an Attorney basically suing me and I had to respond to the Answer, which I did. I called last Wednesday and the lady at the law firm could not find anything for me, not even a file. She transferred me to XXXX which just happened to be a mailbox, I explained I just wanted to verify again that it was received. If not, then I can fax the information over. I did not receive a call back, letter or anything. What I did receive today was a Motion for Default Judgment because I failed to respond. I called the law firm again and they were closed. I called the mortgage company, and of course he had no information on file. He suggested I speak with the short sale department and explain the judgment to see what has happened. He transferred me and they were closed. I ca n't deal with them on my own anymore. I keep trying to do the right thing and just not walk away, and sell the house and not leave it empty, but I still keep getting the incorrect information. That is not fair to me at all. I am trying to do right and have a lot of things on my plate besides this and I am still getting screwed. I do n't have the money to hire an attorney but if I have to I will make sure Ocwen absorbs the cost. I have done everything I was suppose to do and I still get sued.",Mortgage,"Loan modification,collection,foreclosure",1
1788312,"I had a mortgage with Ocwen and filed a chapter XXXX bankruptcy in 2012 and it was discharged. However, Ocwen is still reporting the account negatively after the bankruptcy and it is affecting my credit negatively which is against the bankruptcy laws.",Mortgage,"Loan modification,collection,foreclosure",1
11823468,"I am formally disputing the late payment entries on my credit report XXXX XXXX XXXX XXXX XXXX - {$990.00} XXXX XXXXXXXX - XXXX - {$1000.00} These entries are inaccurate and do not reflect my actual payment history. Despite my repeated attempts to have these discrepancies investigated and resolved, no meaningful action has been taken. I have provided all necessary documentation to support my case and have followed up several times, yet these errors remain. This lack of resolution has not only caused financial strain but has also significantly affected my mental and emotional well-being. The stress of dealing with these incorrect entries is overwhelming. 

Under the Fair Credit Reporting Act ( FCRA ), I am entitled to a credit report that accurately reflects my financial behavior, including the right to have outdated or inaccurate information promptly corrected. I urge you to take immediate action to update or correct these late payment entries, as failure to do so is a violation of my rights under federal law.",Credit reporting or other personal consumer reports,Incorrect information on your report,3
10782800,"I am reaching out as a victim of identity theft and to dispute all accounts that has been fraudulently opened in my name. This account is not mine, and I am requesting that it be promptly removed from my credit report. I was XXXX  Unfortunately in XXXX to XXXX, & my wallet with all my personal information was stolen while I was Away & Came Home With My Credit being Used & Stolen.",Debt collection,Attempts to collect debt not owed,5
